"Time","value"
2024-07-11 13:50:24,64.6
2024-07-11 13:50:26,64.6
2024-07-11 13:50:28,64.6
2024-07-11 13:50:31,64.6
2024-07-11 13:50:33,64.6
2024-07-11 13:50:35,64.6
2024-07-11 13:50:37,64.6
2024-07-11 13:50:39,64.7
2024-07-11 13:50:41,64.7
2024-07-11 13:50:43,64.7
2024-07-11 13:50:45,64.8
2024-07-11 13:50:47,64.9
2024-07-11 13:50:50,65
2024-07-11 13:50:52,65
2024-07-11 13:50:54,64.9
2024-07-11 13:50:56,64.9
2024-07-11 13:50:58,64.7
2024-07-11 13:51:00,64.7
2024-07-11 13:51:02,64.6
2024-07-11 13:51:04,64.6
2024-07-11 13:51:06,64.6
2024-07-11 13:51:08,64.5
2024-07-11 13:51:11,64.5
2024-07-11 13:51:13,64.5
2024-07-11 13:51:15,64.5
2024-07-11 13:51:17,64.6
2024-07-11 13:51:19,64.5
2024-07-11 13:51:21,64.6
2024-07-11 13:51:23,64.5
2024-07-11 13:51:25,64.5
2024-07-11 13:51:27,64.5
2024-07-11 13:51:29,64.4
2024-07-11 13:51:32,64.4
2024-07-11 13:51:34,64.3
2024-07-11 13:51:36,64.2
2024-07-11 13:51:38,64.3
2024-07-11 13:51:40,64.3
2024-07-11 13:51:42,64.3
2024-07-11 13:51:44,64.2
2024-07-11 13:51:46,64.3
2024-07-11 13:51:48,64.4
2024-07-11 13:51:51,64.3
2024-07-11 13:51:53,64.3
2024-07-11 13:51:55,64.6
2024-07-11 13:51:57,64.5
2024-07-11 13:51:59,64.6
2024-07-11 13:52:01,64.7
2024-07-11 13:52:03,64.7
2024-07-11 13:52:05,64.6
2024-07-11 13:52:07,64.6
2024-07-11 13:52:09,64.5
2024-07-11 13:52:12,64.4
2024-07-11 13:52:14,64.4
2024-07-11 13:52:16,64.5
2024-07-11 13:53:08,64.9
2024-07-11 13:53:10,64.9
2024-07-11 13:53:12,64.8
2024-07-11 13:53:14,64.9
2024-07-11 13:53:17,64.9
2024-07-11 13:53:19,64.8
2024-07-11 13:53:21,65
2024-07-11 13:53:23,65
2024-07-11 13:53:25,65.1
2024-07-11 13:53:27,65.2
2024-07-11 13:53:29,65.1
2024-07-11 13:53:31,65.2
2024-07-11 13:53:33,65.1
2024-07-11 13:53:35,65.2
2024-07-11 13:53:38,65.3
2024-07-11 13:53:40,65.2
2024-07-11 13:53:42,65.2
2024-07-11 13:53:44,65.2
2024-07-11 13:53:46,65.1
2024-07-11 13:53:48,65.1
2024-07-11 13:53:50,65.1
2024-07-11 13:53:52,65.2
2024-07-11 13:53:54,65.1
2024-07-11 13:53:57,65.1
2024-07-11 13:53:59,65
2024-07-11 13:54:01,65
2024-07-11 13:54:03,65.1
2024-07-11 13:54:05,65.1
2024-07-11 13:54:07,65.2
2024-07-11 13:54:09,65.1
2024-07-11 13:54:11,65
2024-07-11 13:54:13,65
2024-07-11 13:54:15,65
2024-07-11 13:54:18,65
2024-07-11 13:54:20,65
2024-07-11 13:54:22,64.9
2024-07-11 13:54:24,64.9
2024-07-11 13:54:26,64.9
2024-07-11 13:54:28,64.9
2024-07-11 13:54:30,64.9
2024-07-11 13:54:32,64.9
2024-07-11 13:54:34,64.9
2024-07-11 13:54:37,64.8
2024-07-11 13:54:39,64.9
2024-07-11 13:54:41,64.9
2024-07-11 13:54:43,64.9
2024-07-11 13:54:45,65.1
2024-07-11 13:54:47,65.1
2024-07-11 13:54:49,65.1
2024-07-11 13:54:51,64.9
2024-07-11 13:54:53,64.9
2024-07-11 13:54:55,64.8
2024-07-11 13:54:58,64.8
2024-07-11 13:55:00,64.8
2024-07-11 13:55:02,64.8
2024-07-11 13:55:04,64.9
2024-07-11 13:55:06,65
2024-07-11 13:55:08,64.9
2024-07-11 13:55:10,65
2024-07-11 13:55:12,65
2024-07-11 13:55:14,65.1
2024-07-11 13:55:16,65.1
2024-07-11 13:55:19,65.1
2024-07-11 13:55:21,65
2024-07-11 13:55:23,64.9
2024-07-11 13:55:25,64.9
2024-07-11 13:55:27,64.9
2024-07-11 13:55:29,64.7
2024-07-11 13:55:31,64.6
2024-07-11 13:55:33,64.6
2024-07-11 13:55:35,64.6
2024-07-11 13:55:38,64.5
2024-07-11 13:55:40,64.6
2024-07-11 13:55:42,64.6
2024-07-11 13:55:44,64.6
2024-07-11 13:55:46,64.7
2024-07-11 13:55:48,64.7
2024-07-11 13:55:50,64.6
2024-07-11 13:55:52,64.6
2024-07-11 13:55:54,64.6
2024-07-11 13:55:56,64.6
2024-07-11 13:55:59,64.7
2024-07-11 13:56:01,64.7
2024-07-11 13:56:03,64.7
2024-07-11 13:56:05,64.8
2024-07-11 13:56:07,64.8
2024-07-11 13:56:09,64.9
2024-07-11 13:56:11,65
2024-07-11 13:56:13,65.1
2024-07-11 13:56:15,65.2
2024-07-11 13:56:17,65.3
2024-07-11 13:56:20,65.3
2024-07-11 13:56:22,65.3
2024-07-11 13:56:24,65.3
2024-07-11 13:56:26,65.5
2024-07-11 13:56:28,65.5
2024-07-11 13:56:30,65.4
2024-07-11 13:56:32,65.4
2024-07-11 13:56:34,65.2
2024-07-11 13:56:36,65.2
2024-07-11 13:56:39,65.3
2024-07-11 13:56:41,65.3
2024-07-11 13:56:43,65.3
2024-07-11 13:56:45,65.2
2024-07-11 13:56:47,65.3
2024-07-11 13:56:49,65.3
2024-07-11 13:56:51,65.3
2024-07-11 13:56:53,65.3
2024-07-11 13:56:55,65.4
2024-07-11 13:56:57,65.4
2024-07-11 13:57:00,65.4
2024-07-11 13:57:02,65.4
2024-07-11 13:57:04,65.5
2024-07-11 13:57:06,65.5
2024-07-11 13:57:08,65.5
2024-07-11 13:57:10,65.6
2024-07-11 13:57:12,65.5
2024-07-11 13:57:14,65.4
2024-07-11 13:57:16,65.3
2024-07-11 13:57:19,65.2
2024-07-11 13:57:21,65.2
2024-07-11 13:57:23,65.1
2024-07-11 13:57:25,64.9
2024-07-11 13:57:27,64.9
2024-07-11 13:57:29,65
2024-07-11 13:57:31,65.1
2024-07-11 13:57:33,65
2024-07-11 13:57:35,65.1
2024-07-11 13:57:37,65
2024-07-11 13:57:40,65
2024-07-11 13:57:42,64.9
2024-07-11 13:57:44,65
2024-07-11 13:57:46,65
2024-07-11 13:57:48,65.1
2024-07-11 13:57:50,65.3
2024-07-11 13:57:52,65.4
2024-07-11 13:57:54,65.5
2024-07-11 13:57:56,65.6
2024-07-11 13:57:58,65.7
2024-07-11 13:58:01,65.8
2024-07-11 13:58:03,65.8
2024-07-11 13:58:05,65.6
2024-07-11 13:58:07,65.6
2024-07-11 13:58:09,65.5
2024-07-11 13:58:11,65.5
2024-07-11 13:58:13,65.4
2024-07-11 13:58:15,65.4
2024-07-11 13:58:17,65.5
2024-07-11 13:58:20,65.6
2024-07-11 13:58:22,65.5
2024-07-11 13:58:24,65.5
2024-07-11 13:58:26,65.5
2024-07-11 13:58:28,65.4
2024-07-11 13:58:30,65.3
2024-07-11 13:58:32,65.3
2024-07-11 13:58:34,65.4
2024-07-11 13:58:36,65.4
2024-07-11 13:58:38,65.3
2024-07-11 13:58:41,65.3
2024-07-11 13:58:43,65.2
2024-07-11 13:58:45,65.2
2024-07-11 13:58:47,65.2
2024-07-11 13:58:49,65.2
2024-07-11 13:58:51,65.2
2024-07-11 13:58:53,65.2
2024-07-11 13:58:55,65.3
2024-07-11 13:58:57,65.4
2024-07-11 13:59:00,65.4
2024-07-11 13:59:02,65.5
2024-07-11 13:59:04,65.4
2024-07-11 13:59:06,65.5
2024-07-11 13:59:08,65.5
2024-07-11 13:59:10,65.6
